id,sender,receiver,amount,conducted_on,notes
763,Ferry-Tromp,Val Verde,391680,2025-01-15 17:07:20,
764,Gleason-Hoppe,Val Verde,227463,2024-06-24 19:56:30,
765,"Cormier, Schneider and Wolf",Val Verde,764215,2024-04-28 14:58:23,
766,Bartell Group,Val Verde,490741,2025-02-20 16:08:19,
767,"Buckridge, Lockman and Larson",Val Verde,176974,2025-04-22 09:01:01,
768,Corwin-Raynor,Val Verde,410031,2024-12-21 09:18:00,
769,Hyatt and Sons,Val Verde,264080,2024-08-17 20:37:40,
770,"Weimann, Hane and Crist",Val Verde,593461,2024-06-18 07:19:44,
771,Gerlach-Kuvalis,Val Verde,314292,2025-04-22 17:04:15,
772,Reinger-Wilderman,Val Verde,283892,2025-02-24 10:25:20,
773,Zboncak-Harvey,Val Verde,439113,2025-03-02 23:48:27,
774,"Feest, Huels and Kris",Val Verde,585520,2024-05-29 06:19:20,
775,Bruen-Abernathy,Val Verde,466238,2024-01-17 12:22:32,
776,Jenkins Inc,Val Verde,744622,2024-01-04 10:21:54,
777,Dare Group,Val Verde,255927,2024-07-08 20:27:56,
778,"Doyle, Bruen and McGlynn",Val Verde,640600,2025-03-07 15:34:38,
779,Wolff-Heaney,Val Verde,525115,2025-03-24 06:21:33,
780,"Rau, Gleason and Lubowitz",Val Verde,211513,2024-02-07 06:08:38,
781,Stark-Orn,Val Verde,337903,2024-10-25 12:15:19,
782,"Toy, Kerluke and Abbott",Val Verde,142604,2024-11-08 19:37:42,
783,Hessel-Steuber,Val Verde,272438,2024-12-01 04:55:53,
784,Rau Group,Val Verde,475584,2025-05-12 00:22:57,
785,"Rice, Lockman and Walsh",Val Verde,604389,2025-03-14 19:53:50,
786,"Weber, Okuneva and Purdy",Val Verde,581323,2024-11-08 01:55:25,
787,Reichert-Turcotte,Val Verde,559921,2024-09-26 18:55:14,
788,Collins Group,Val Verde,442503,2024-01-15 09:42:53,
789,Morissette LLC,Val Verde,659408,2025-04-04 10:03:41,
790,"Tremblay, Fritsch and Kutch",Val Verde,225201,2024-08-10 04:31:28,
791,"Cruickshank, Labadie and Schmitt",Val Verde,290585,2024-02-07 00:30:52,
792,Johnston-Dooley,Val Verde,646671,2024-10-02 14:43:10,
793,Zboncak and Sons,Val Verde,352740,2024-02-26 12:03:13,
794,Kovacek-Lang,Val Verde,632582,2025-01-16 17:11:09,
795,Nikolaus Inc,Val Verde,403412,2024-01-19 18:45:12,
796,Rowe-Schowalter,Val Verde,732828,2025-04-11 06:48:53,
797,White-Prohaska,Val Verde,348146,2024-03-26 21:07:08,
798,Gislason and Sons,Val Verde,977635,2024-11-09 16:00:05,
799,Hackett-Stracke,Val Verde,417442,2024-12-26 14:33:02,
800,Beatty Inc,Val Verde,939420,2024-12-18 06:41:25,
801,"Borer, Reilly and Baumbach",Val Verde,257914,2024-12-17 23:03:45,
802,"Treutel, Lehner and Macejkovic",Val Verde,431476,2025-02-19 11:37:35,
803,Littel and Sons,Val Verde,886064,2025-03-11 09:57:37,
804,Reynolds Inc,Val Verde,523928,2024-08-07 18:38:56,
805,Schumm LLC,Val Verde,665836,2024-01-30 17:39:59,
806,Flatley-Lowe,Val Verde,509476,2024-07-15 04:58:35,
807,"Braun, Gleichner and Wintheiser",Val Verde,546091,2024-09-16 20:01:18,
808,Howell-Rogahn,Val Verde,243802,2025-01-13 01:30:26,
809,"Shields, Kihn and Shields",Val Verde,408794,2024-11-24 08:33:32,
810,Rogahn-Bogan,Val Verde,175432,2024-07-24 12:20:13,
811,Gleason-Aufderhar,Val Verde,317321,2024-04-09 22:49:57,
812,Quitzon-Runte,Val Verde,321515,2025-03-19 12:08:07,
813,Hagenes-Howell,Val Verde,983751,2024-06-19 19:14:46,
814,Hermann Group,Val Verde,773965,2024-12-12 23:53:38,
815,Kshlerin Inc,Val Verde,920271,2024-12-31 05:09:22,
816,Erdman-Macejkovic,Val Verde,808174,2024-01-06 23:26:00,
817,Cormier-Bartoletti,Val Verde,856876,2024-04-18 02:35:50,
818,Schimmel-Pagac,Val Verde,553256,2025-02-22 05:51:14,
819,"Streich, Collins and King",Val Verde,741638,2024-09-23 17:14:35,
820,"Gerhold, Koelpin and Muller",Val Verde,119222,2025-04-25 13:02:48,
821,"Nitzsche, Davis and Labadie",Val Verde,585528,2025-01-15 18:07:17,
822,"Breitenberg, Cronin and Nader",Val Verde,258006,2024-06-11 02:41:34,
823,"Jaskolski, Crona and Steuber",Val Verde,682399,2024-02-17 22:38:52,
824,Bosco-Bauch,Val Verde,499720,2024-02-23 09:31:00,
825,"Boyle, Greenfelder and Cartwright",Val Verde,379846,2024-09-08 01:34:24,
826,"Lindgren, Schumm and Jacobi",Val Verde,954142,2024-12-11 23:01:45,
827,Upton-Connelly,Val Verde,709340,2024-02-01 09:42:09,
828,Veum-Wintheiser,Val Verde,155968,2025-01-24 23:25:31,
829,Stehr-Dicki,Val Verde,829886,2025-01-12 18:30:31,
830,"Nikolaus, Veum and Bernhard",Val Verde,561882,2024-03-03 21:06:43,
831,Douglas-Weissnat,Val Verde,162713,2024-01-26 11:38:41,
832,Cronin-Swaniawski,Val Verde,948289,2024-02-01 07:36:45,
833,"Littel, Mayert and Hickle",Val Verde,135921,2024-08-13 11:40:45,
834,Kuhn-Baumbach,Val Verde,472116,2024-06-26 02:18:27,
835,"Dicki, Ondricka and Littel",Val Verde,999102,2025-01-30 02:41:11,
836,O'Conner-Macejkovic,Val Verde,700680,2025-02-20 23:08:01,
837,Graham LLC,Val Verde,820000,2024-09-06 02:49:00,
838,Torphy-Homenick,Val Verde,907465,2024-11-13 01:41:12,
839,Bergnaum and Sons,Val Verde,694105,2024-10-20 12:22:22,
840,Dicki-Ernser,Val Verde,696692,2025-03-17 09:28:50,
841,Simonis-Barrows,Val Verde,501586,2025-05-10 01:41:13,
842,Cruickshank-Hilll,Val Verde,778769,2024-05-17 15:56:30,
843,"Schmeler, White and Kohler",Val Verde,973666,2025-03-29 20:49:42,
844,Kertzmann-Conroy,Val Verde,774289,2024-12-27 21:20:43,
845,"Cummerata, Yost and Kling",Val Verde,988332,2024-02-01 16:49:58,
846,"Grady, Bergstrom and Schneider",Val Verde,515176,2024-09-22 12:14:43,
847,Shanahan-Gottlieb,Val Verde,355453,2024-09-02 21:20:59,
848,"Streich, Gibson and Cruickshank",Val Verde,381400,2024-04-27 16:45:04,
849,McDermott and Sons,Val Verde,285484,2024-02-09 04:10:49,
850,"O'Connell, Zieme and Hahn",Val Verde,816440,2024-01-27 03:01:12,
851,"Kessler, Gerlach and Kutch",Val Verde,201154,2024-03-10 05:08:31,
852,Frami-Trantow,Val Verde,703294,2024-12-31 01:55:08,
853,"Stroman, Lakin and Gutkowski",Val Verde,443801,2025-03-03 09:18:15,
854,Littel-Kessler,Val Verde,494895,2024-01-18 17:42:37,
855,Halvorson-Huels,Val Verde,137541,2024-12-25 08:13:33,
856,Bailey-Kertzmann,Val Verde,781138,2024-07-29 06:12:29,
857,Keebler-Marquardt,Val Verde,286472,2025-03-12 16:48:11,
858,Hills Group,Val Verde,339744,2024-10-19 10:46:20,
859,Schoen-Little,Val Verde,384187,2024-06-24 05:57:17,
860,Stark-Douglas,Val Verde,285085,2024-05-23 11:24:57,
861,Frami-Mann,Val Verde,552493,2024-12-03 20:37:43,
862,Rutherford LLC,Val Verde,697401,2024-01-30 21:20:41,
863,"Smith, Franecki and Huels",Val Verde,683574,2024-06-12 04:01:18,
864,"Hoeger, Legros and Stracke",Val Verde,640220,2025-02-12 05:41:46,
865,Barrows LLC,Val Verde,534582,2024-06-16 12:11:13,
866,"Dach, Graham and Watsica",Val Verde,773751,2025-04-29 06:12:31,
867,Kris-Prohaska,Val Verde,781951,2024-11-27 12:15:32,
868,Simonis and Sons,Val Verde,349758,2024-03-16 03:36:11,
869,Blick-Schroeder,Val Verde,698263,2024-03-31 09:32:35,
870,Thiel-Beahan,Val Verde,713264,2025-02-21 21:06:06,
871,Marvin-Wolf,Val Verde,667550,2024-01-12 23:21:35,
872,Cassin LLC,Val Verde,922876,2025-05-16 23:06:15,
873,Rau LLC,Val Verde,379284,2024-08-28 14:28:23,
874,"Paucek, Ratke and Connelly",Val Verde,828710,2024-06-30 08:51:47,
875,"Rosenbaum, Stroman and Crona",Val Verde,707173,2025-03-29 05:32:20,
876,Smith and Sons,Val Verde,879929,2024-05-09 22:24:59,
877,Romaguera Group,Val Verde,334260,2024-05-14 23:53:20,
878,"Braun, Halvorson and Davis",Val Verde,136477,2024-10-25 14:55:22,
879,Lueilwitz-Friesen,Val Verde,968332,2024-12-11 16:27:05,
880,"Fadel, Sporer and Ryan",Val Verde,992990,2025-01-18 08:21:47,
881,Hermann-Sanford,Val Verde,399581,2024-07-15 16:46:02,
882,Ferry-Shields,Val Verde,789722,2024-04-16 21:23:58,
883,Cronin Group,Val Verde,238047,2025-02-17 18:12:35,
884,"Spencer, Gerlach and Weissnat",Val Verde,263460,2024-11-08 09:37:44,
885,Rohan-Cormier,Val Verde,739211,2025-04-03 13:52:11,
886,"Sanford, Hettinger and Cummings",Val Verde,694454,2025-01-24 00:57:36,
887,Cremin Group,Val Verde,719676,2024-02-02 15:12:18,
888,"Bailey, Beatty and Halvorson",Val Verde,557122,2024-07-11 08:51:18,
889,"Stamm, Considine and McKenzie",Val Verde,423541,2024-04-01 04:44:18,
890,"Johnston, Gutmann and Senger",Val Verde,718778,2024-05-22 15:51:52,
891,"Emmerich, Will and Douglas",Val Verde,732130,2024-02-17 07:15:46,
892,Padberg-Mohr,Val Verde,442643,2024-08-18 05:20:22,
893,"Yost, Kuhic and Medhurst",Val Verde,114716,2025-05-07 08:23:34,
894,Block and Sons,Val Verde,242336,2024-09-20 02:56:17,
895,"Paucek, Lemke and Hoppe",Val Verde,651059,2024-10-09 23:00:29,
896,"Schaefer, Johns and Mante",Val Verde,450201,2024-07-02 18:29:26,
897,Mueller LLC,Val Verde,118798,2024-07-29 12:20:37,
898,Johnson-Marks,Val Verde,740289,2024-11-26 22:28:09,
899,Dietrich-Hilpert,Val Verde,408155,2025-04-05 12:59:45,
900,Luettgen-Brakus,Val Verde,465204,2025-04-20 16:27:19,
901,Mueller-Roberts,Val Verde,341992,2025-05-06 19:55:13,
902,Harber Group,Val Verde,498188,2025-01-23 07:28:55,
903,"Waters, Kuhlman and Goldner",Val Verde,656359,2024-09-03 02:09:35,
904,"Spinka, Zulauf and Davis",Val Verde,679867,2024-03-18 23:04:15,
905,Wintheiser LLC,Val Verde,753420,2025-02-17 02:10:25,
906,"Yundt, Simonis and Cruickshank",Val Verde,883573,2025-05-21 00:49:06,
907,Hermann and Sons,Val Verde,971691,2024-04-13 08:16:23,
908,Hudson Inc,Val Verde,247165,2024-11-13 04:38:17,
909,Heidenreich Group,Val Verde,313718,2025-03-03 09:49:48,
910,Schuster Group,Val Verde,606824,2024-04-02 06:24:57,
911,Hettinger and Sons,Val Verde,641834,2024-01-21 08:09:07,
912,"McLaughlin, Heathcote and Mohr",Val Verde,315814,2025-05-03 05:39:32,
913,Emard Inc,Val Verde,644728,2025-03-18 13:10:01,
914,Hauck-Wunsch,Val Verde,464538,2025-05-24 20:32:48,
915,Spencer-Weissnat,Val Verde,886644,2025-02-25 09:42:38,
916,"Simonis, Roob and Lakin",Val Verde,565901,2024-06-29 17:24:50,
917,O'Conner-Strosin,Val Verde,357366,2024-04-21 06:44:17,
918,"Bahringer, Kovacek and Wolf",Val Verde,586900,2024-04-26 20:33:33,
919,Moore-Cruickshank,Val Verde,578317,2025-01-15 01:03:55,
920,Hand-Rutherford,Val Verde,595948,2025-03-06 21:10:48,
921,Dicki and Sons,Val Verde,387797,2024-02-10 22:57:34,
922,"Lebsack, Stamm and Zboncak",Val Verde,652722,2025-04-23 18:41:44,
923,Turcotte-Hudson,Val Verde,698073,2024-01-13 17:55:39,
924,Goldner and Sons,Val Verde,143619,2024-10-09 07:03:16,
925,Fahey-Rippin,Val Verde,808330,2024-10-10 00:31:50,
926,Bahringer Inc,Val Verde,485779,2024-09-05 02:48:29,
927,"Pfannerstill, Maggio and Swaniawski",Val Verde,152465,2025-03-09 07:44:44,
928,Beahan-Christiansen,Val Verde,109964,2025-01-08 07:52:06,
929,Tremblay-Bernier,Val Verde,760529,2024-01-12 03:31:25,
930,"Ratke, Cummerata and Kessler",Val Verde,721601,2024-03-10 12:34:33,
931,Smith-Bode,Val Verde,160198,2024-12-13 21:44:14,
932,Schroeder-Torp,Val Verde,982585,2025-03-06 08:54:11,
933,"Schultz, Altenwerth and Jacobson",Val Verde,120456,2025-03-13 02:26:38,
934,Beer Inc,Val Verde,617800,2024-04-27 09:38:36,
935,Lakin-Kerluke,Val Verde,211701,2024-06-18 05:17:20,
936,Daniel-Kuhlman,Val Verde,588371,2024-03-10 05:25:26,
937,Erdman-Strosin,Val Verde,831854,2024-02-17 16:42:00,
938,Friesen Inc,Val Verde,651115,2025-01-25 20:33:59,
939,Reinger Inc,Val Verde,269599,2024-11-04 17:05:17,
940,Barton-Sipes,Val Verde,844788,2024-05-10 00:18:33,
941,Stoltenberg-Boehm,Val Verde,245746,2024-07-16 15:41:17,
942,Cummings LLC,Val Verde,671501,2025-03-19 03:41:37,
943,"Goldner, Schulist and Haag",Val Verde,947917,2024-08-16 13:59:56,
944,"Krajcik, Beahan and McCullough",Val Verde,114212,2024-12-21 16:14:03,
945,Torp Group,Val Verde,551289,2024-04-03 15:08:08,
946,Stehr Group,Val Verde,365409,2024-02-04 00:04:55,
947,Casper and Sons,Val Verde,702460,2024-12-23 04:15:35,
948,Mohr LLC,Val Verde,201607,2024-04-19 17:57:49,
949,"Schimmel, Collins and McDermott",Val Verde,586965,2024-08-28 23:36:39,
950,"Yost, Cremin and Weissnat",Val Verde,311810,2024-07-22 04:11:30,
951,Effertz LLC,Val Verde,350614,2024-06-14 07:38:17,
952,Balistreri-Kessler,Val Verde,283159,2024-10-03 22:12:46,
953,Dooley Inc,Val Verde,131893,2024-07-27 12:30:22,
954,Lind-Mohr,Val Verde,975338,2024-03-12 21:20:21,
955,O'Reilly-Conn,Val Verde,181088,2025-04-16 21:16:41,
956,Crooks LLC,Val Verde,161221,2025-04-08 10:49:20,
957,Kreiger and Sons,Val Verde,763836,2025-04-19 09:50:07,
958,Jerde Inc,Val Verde,284009,2024-05-11 16:23:17,
959,Schmidt Inc,Val Verde,706113,2024-02-06 22:02:09,
960,Pollich Inc,Val Verde,248838,2024-04-13 23:01:26,
961,Nader Inc,Val Verde,158535,2025-04-21 09:41:34,
962,"Ullrich, Rowe and Willms",Val Verde,631612,2024-01-14 09:19:42,
963,"Thiel, Will and Bauch",Val Verde,676640,2024-09-20 02:01:27,
964,Wolf and Sons,Val Verde,902781,2024-12-09 22:26:05,
965,Bartell LLC,Val Verde,867930,2024-12-19 14:31:38,
966,Jacobi Inc,Val Verde,736517,2025-01-30 08:38:39,
967,Stanton Group,Val Verde,753066,2024-09-15 20:06:39,
968,"Bergstrom, Grimes and Reichert",Val Verde,812940,2024-03-26 15:39:45,
969,"Kessler, Murazik and Reichert",Val Verde,749583,2025-05-19 23:44:20,
970,Schuppe Group,Val Verde,728719,2024-05-04 00:02:50,
971,Streich LLC,Val Verde,880237,2024-02-20 20:12:12,
972,Kovacek Group,Val Verde,296508,2025-02-02 12:47:25,
973,Hayes-Jakubowski,Val Verde,693880,2024-02-10 00:59:27,
974,Christiansen Group,Val Verde,998315,2024-05-07 01:19:54,
975,"McGlynn, Harvey and Bradtke",Val Verde,245886,2025-03-26 06:35:07,
976,"Pfannerstill, Pfannerstill and Abernathy",Val Verde,851190,2025-05-23 09:16:55,
977,Miller and Sons,Val Verde,561229,2025-05-11 15:30:16,
978,"Lind, Konopelski and Metz",Val Verde,324981,2024-05-14 12:46:14,
979,"Stracke, Upton and Kirlin",Val Verde,866086,2024-03-13 13:50:52,
980,"Schuppe, Schowalter and Bosco",Val Verde,951187,2024-04-04 08:53:00,
981,Smith-Prosacco,Val Verde,935827,2024-05-22 15:58:42,
982,Williamson and Sons,Val Verde,615523,2024-08-16 21:05:46,
983,Dickens Inc,Val Verde,112233,2024-04-22 07:58:37,
984,Bergstrom LLC,Val Verde,233326,2024-07-05 23:13:40,
985,Christiansen and Sons,Val Verde,488438,2024-06-25 14:42:04,
986,"Nolan, Purdy and Ward",Val Verde,865308,2025-03-16 16:09:02,
987,Maggio-Greenfelder,Val Verde,603559,2024-02-28 20:56:17,
988,Dare and Sons,Val Verde,140498,2024-09-11 05:11:17,
989,Mueller-Parker,Val Verde,683886,2025-02-18 11:30:56,
990,Vandervort-Mitchell,Val Verde,856623,2025-04-10 18:55:44,
991,Lehner-Littel,Val Verde,564767,2024-06-06 07:51:38,
992,Collier-McClure,Val Verde,735531,2024-09-12 18:56:16,
993,"Ryan, Blanda and Doyle",Val Verde,728341,2024-11-14 22:00:06,
994,"Greenfelder, Konopelski and Braun",Val Verde,332526,2024-07-11 00:06:47,
995,Paucek-Rau,Val Verde,406282,2024-01-04 22:03:56,
996,"Schoen, Schimmel and Schoen",Val Verde,608706,2024-04-21 23:32:49,
997,"Stoltenberg, Reichert and Hudson",Val Verde,951756,2025-05-08 01:39:24,
998,Renner Inc,Val Verde,565291,2024-04-29 15:00:38,
999,Littel-Lebsack,Val Verde,163894,2024-01-05 01:12:41,
1000,Streich-Hintz,Val Verde,422961,2024-02-07 17:42:26,
